osm_id|lat|lon|name
N107935777|47.0450591|15.4383252|Puchmuseum
N242810686|47.0699167|15.4961983|Lustbühel
N270331167|47.0275455|15.3695127|Bildföhre
N327378863|47.0694359|15.4414453|Hl. Johannes v. Nep.
N446861548|47.0736980|15.4373113|Märchengrottenbahn
N492011123|47.0762864|15.3924939|Universalmuseum Joanneum - Lapidarium
N492011184|47.0763704|15.3926306|Universalmuseum Joanneum - Archäologie
N492011471|47.0738175|15.3916786|Universalmuseum Joanneum - Alte Galerie, Münzkabinett
N853676125|47.0831988|15.4614158|Kletterpark Hilmteich
N853851163|47.0722584|15.4413771|Alte Universität
N890451541|47.0777425|15.4494915|Kriminalmuseum
N893020130|47.0732288|15.4378757|Bürgerbastei
N893020131|47.0750964|15.4368440|Stallbastei
N963179447|47.0688549|15.4448527|Lichtschwert
N982622817|47.0766154|15.4592223|Admiral Wilhelm von Tegetthoff
N987132207|47.0731499|15.4395092|Türke
N995938131|47.0716982|15.4417555|Diözesanmuseum Graz
N999516246|47.0698025|15.4398828|Landeszeughaus
N1029617830|47.0726561|15.4365183|GrazMuseum
N1098016182|47.0711649|15.4413417|Glockenspiel
N1148818216|47.0738605|15.4375987|Schloßberglift Aussichtsplattform
N1416935844|47.0712258|15.4458089|Joseph Marx
N1453508759|47.0760404|15.4411352|Ehrenring
N1480245969|47.0633694|15.4271207|Die Klangsäule
N1487901646|47.0682728|15.4433259|Kaiser Joseph II.
N1610911578|47.0718296|15.4420387|Landplagenbild
N1614117212|47.0713017|15.4402326|Robert-Stolz-Museum
N1688850479|47.0778208|15.4291329|Schell Collection
N1746477577|47.0728913|15.4426918|Grazer Stadtkern
N1756455007|47.0733371|15.4375926|Dr. Karl Renner
N1756455011|47.0699574|15.4392005|Faun mit Weitblick
N1756455012|47.0747218|15.4368139|Hans Kloepfer
N1756455017|47.0688455|15.4455310|Ludwig van Beethoven
N1756455030|47.0688194|15.4452700|Professor Dr. Eduard Speck
N1756455083|47.0689031|15.4454059|Richard Wagner
N1837534428|47.1033736|15.4155204|Universalmuseum Joanneum - Studienzentrum Naturkunde
N1915346803|47.0666653|15.4670978|Froschkönigbrunnen
N1936662693|47.0708872|15.4424893|ESC
N2400327948|47.0723086|15.4434881|Insektenhotel
N2400327952|47.0733740|15.4450618|Libelle
N2484925381|47.0707074|15.4293805|DruckZeug
N2608842447|47.0739854|15.4489447|kunst.wirt.schaft
N2858407366|47.0696686|15.4289936|Sankt Andrä Kirche
N2952095965|47.0754708|15.4368941|ARTSAT
N3397840163|47.0800540|15.4479077|Spiral of Life
N3634139112|47.0736614|15.4415049|Grazer Spielzeugmuseum
N3950765398|47.0717855|15.4314769|Johannes von Gott
N3950765399|47.0718523|15.4313574|Johannes von Gott
N4237317721|47.0718475|15.4412347|Schneemann
N4301224957|47.0725403|15.4367764|Museum im Palais
N4371176025|47.0770045|15.4367152|Gotisches Tor
N4639650466|47.0733045|15.4142330|GEMEC- Eisenbahn Club
W23786584|47.0731602|15.4345854|Murinsel
W29714856|47.0684567|15.4375001|Universalmuseum Joanneum
W29714953|47.0717396|15.4445800|Haus für Kunst und Medien
W84579396|47.0721606|15.4430515|Burgtor
W84579399|47.0750288|15.4397023|Volkskundemuseum
W85220561|47.0697247|15.4393316|Landhaus
W86174340|47.0713028|15.4340129|Kunsthaus
W87311939|47.0631461|15.4362357|Kindermuseum FRida & freD
W87311950|47.0626125|15.4375410|Museum der Wahrnehmung
W98928218|47.0703614|15.4386693|Rathaus
W122074496|47.0759728|15.4371984|Glockenturm
W122261332|47.0710321|15.4381174|Erzherzog-Johann-Brunnen
W131410767|47.0729212|15.4410363|Kaiser Franz I. von Österreich
W132756293|47.0703240|15.4959481|Schloss Lustbühel
W179944983|47.1056129|15.4889515|Tramwaymuseum
W190122615|47.0735370|15.4377297|Uhrturm
W385927810|47.0713269|15.4340000|Friendly Alien
W425806686|47.0727124|15.4427845|Doppelwendeltreppe
W479810483|47.0826348|15.4608349|Waldschule
